timestamp,alarm_frontend_cpu__frontend,alarm_frontend_probe_duration,alarm_frontend_probe_success,cpu__adservice,cpu__cartservice,cpu__checkoutservice,cpu__currencyservice,cpu__emailservice,cpu__frontend,cpu__loadgenerator,cpu__paymentservice,cpu__productcatalogservice,cpu__recommendationservice,cpu__redis-cart,cpu__shippingservice,fs_reads__frontend,fs_reads__productcatalogservice,fs_reads__redis-cart,fs_reads__shippingservice,fs_writes__frontend,fs_writes__productcatalogservice,fs_writes__redis-cart,fs_writes__shippingservice,memory__adservice,memory__cartservice,memory__checkoutservice,memory__currencyservice,memory__emailservice,memory__frontend,memory__loadgenerator,memory__paymentservice,memory__productcatalogservice,memory__recommendationservice,memory__redis-cart,memory__shippingservice,restart__adservice__server,restart__cartservice__server,restart__checkoutservice__server,restart__currencyservice__server,restart__emailservice__server,restart__frontend__server,restart__loadgenerator__main,restart__paymentservice__server,restart__productcatalogservice__server,restart__recommendationservice__server,restart__redis-cart__redis,restart__shippingservice__server,running__adservice,running__cartservice,running__checkoutservice,running__currencyservice,running__emailservice,running__frontend,running__loadgenerator,running__paymentservice,running__productcatalogservice,running__recommendationservice,running__redis-cart,running__shippingservice
1780600634,0.015011101938569004,0.018520536,1,0.002324052812858734,0.007230044520394041,0.0007900863917652302,0.006833258553000523,0.0023649039548022588,0.015011101938569004,0.0027523151306062237,0.00043205310260559286,0.007546534079938127,0.005803674564555039,0.00236830780620981,0.0011561685532198295,0,0,0,0,0,0,0,0,92192768,52805632,9310208,95846400,43446272,15011840,50569216,25800704,9625600,42479616,5693440,8749056,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600649,0.016664189939362913,0.015118312,1,0.0024593590528680285,0.007676299339863209,0.0009296507018607352,0.007570669273842335,0.002363053709528684,0.016664189939362913,0.003001515130606225,0.0006132540356839453,0.006131775455626678,0.006168529463397557,0.002436538085831516,0.0013573059862093245,0,0,0,0,0,0,0,0,92188672,52871168,9310208,96382976,43446272,15388672,50569216,25432064,9625600,42479616,5693440,8749056,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600664,0.019217957059206703,0.018307704,1,0.0024137896923532723,0.0077140460164702085,0.0011146201785413412,0.006473630902467203,0.0015598494868215925,0.019217957059206703,0.00375477156922019,0.0005161122543587897,0.007734402546522925,0.006221817149842873,0.001975306731228735,0.0013941322232133792,0,0,0,0,0,0,0,0,92188672,52871168,9310208,96382976,43446272,15388672,50573312,25591808,9781248,42479616,5693440,8749056,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600679,0.016215601601950267,0.020387996,1,0.002338074592429211,0.006534954042251948,0.0011139276910435473,0.007972291438253929,0.001843246038176882,0.016215601601950267,0.0036463543582199286,0.0002860174390982974,0.0075039376203160585,0.004323097853192007,0.0024651833204758647,0.0013026818722977223,0,0,0,0,0,0,0,0,92188672,52871168,9310208,96301056,43446272,15093760,50581504,25829376,9515008,42479616,5697536,8749056,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600694,0.014872960127367293,0.045450935,1,0.0021043216411796156,0.007866448305326037,0.0008772652870337977,0.008230453854122998,0.0021532763405245577,0.014872960127367293,0.0023939663571436,0.0003715124816446371,0.0066843199319694775,0.005784623291191457,0.002350146875377277,0.0009669370434035404,0,0,0,0,0,0,0,0,92315648,52912128,9310208,96194560,43446272,15093760,50581504,25944064,9740288,42463232,5955584,8749056,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600709,0.0056535999999994145,0.019752373,1,0.0024895428329249282,0.007740260109041413,0.0007398422921808388,0.007553021176344608,0.0022702437512910284,0.0056535999999994145,0.0034241452774676747,0.0005060413817839471,0.0066843199319694775,0.004767925517022365,0.0016449481397115171,0.0010880586622568544,0,0,0,0,0,0,0,0,92323840,52883456,9310208,96444416,43446272,15093760,50593792,26238976,9740288,42463232,5955584,8753152,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600724,0.014675142644504606,0.021821276,1,0.002517459909256233,0.007942431685600241,0.0008331125454494137,0.00610589378987855,0.0015451914907821903,0.014675142644504606,0.0034307176311821,0.0005346445750935312,0.006880841816310313,0.005887475988203808,0.0023512884502144738,0.0008761499999999867,0,0,0,0,0,0,0,0,92323840,52850688,9359360,96444416,43446272,15163392,50589696,25661440,9535488,42463232,5693440,8753152,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600739,0.015716139166860436,0.014250523,1,0.002397374781791316,0.007914539943287544,0.0008578727902742594,0.007171504624232721,0.0021572738888382004,0.015716139166860436,0.0036301589751504388,0.0005422637384477808,0.006850434350955582,0.005601867105985588,0.0024531858771144116,0.001153075139779064,0,0,0,0,0,0,0,0,92205056,52887552,9359360,96296960,43446272,15163392,50589696,25804800,9568256,42463232,5697536,8753152,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600754,0.018244127068873458,0.016495438,1,0.0023437860203930376,0.009070360665844617,0.0011212340118131805,0.008701979069526298,0.0022050543433847995,0.018244127068873458,0.0037435822637107755,0.0004713871785584906,0.005270182694368105,0.005520850890703863,0.0024451389534343657,0.0011129300162409442,0,0,0,0,0,0,0,0,92205056,52891648,9359360,96903168,43446272,15081472,50597888,25804800,9568256,42463232,5693440,9023488,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600769,0.018244127068873458,0.017192182,1,0.002506634566933586,0.009481567516525015,0.0011146313599085969,0.007819944743317885,0.002133827171035775,0.018244127068873458,0.0038926470588234482,0.0005613850996852078,0.008094581131421742,0.006047994336072347,0.0024451389534343652,0.001179921472014778,0,0,0,0,0,0,0,0,92205056,52887552,9424896,96903168,43446272,15081472,50606080,26157056,9576448,42463232,5693440,8761344,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
